,username,created_at,truncated,description,following,followers,totaltweets,retweetcount,text,hashtags,user_mention,retweetScreenNames
0,kittyhundal,2022-09-22 03:20:48+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/8vDKCELK5d","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
1,kittyhundal,2022-09-22 03:19:22+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/Ohjviwo6uK","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
2,BellaLea88,2022-09-22 01:21:04+00:00,False,"I like a lot - Hello there, yes you reading this, you are special. Don't you ever fade!",754,726,7124,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
3,HPot8888,2022-09-22 00:18:47+00:00,False,Rebel,467,335,10355,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/rILT1dY5hh","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
4,HRMN8RHerm,2022-09-21 23:35:54+00:00,False,"Proud Patriot, Conservative, Christian Catholic, Defender of the Declaration of Independence, The Constitution and The United States of America.",396,414,8770,233,"Attorney lawyer for military, Todd Callender: 

“according to DMED, military database, all cause mortality spiked 1100% in just 10 months, the year the vaccine was introduced”

That’s just the starting statement

These facts are disturbing
#vaccine #VaccineDeath #Vaccineinjury https://t.co/3cP63Kzcli",[],['bambkb'],bambkb
5,shortfinal32,2022-09-21 23:31:09+00:00,False,"An advocate for equality of opportunity, freedom of thought and speech, and a Canadian patriot",110,75,3063,0,"@rpoconnor ...how did it go for those who recommended Thalidomide?
#cdnpoli
#NoVaccineMandates
#CommunistCanada","[{'text': 'cdnpoli', 'indices': [67, 75]}, {'text': 'NoVaccineMandates', 'indices': [76, 94]}, {'text': 'CommunistCanada', 'indices': [95, 111]}]",['rpoconnor'],
6,kittyhundal,2022-09-21 23:29:57+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/85pQ3RNlaM","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
7,kittyhundal,2022-09-21 23:27:12+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/rILT1dY5hh","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
8,kittyhundal,2022-09-21 23:26:30+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/WzLluioYPA","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
9,ChoicesMatter_,2022-09-21 23:00:00+00:00,False,Forceful Medical/vaxx is not the way to a healthy lifestyle! Health cannot be injected. Enough is enough! https://t.co/kXr2lapf6J,249,206,12250,0,"#vaccinedeath is real
#vaccineinjury is real
Young/healthy people falling over dead (post 💉 or otherwise) is NOT NORMAL!
Young/healthy people dying in their sleep (post 💉 or otherwise) is NOT NORMAL!
#StopTheShot
#DoNotComply
#stoptheshots
#Informedconsent is a right!","[{'text': 'vaccinedeath', 'indices': [0, 13]}, {'text': 'vaccineinjury', 'indices': [22, 36]}, {'text': 'StopTheShot', 'indices': [200, 212]}, {'text': 'DoNotComply', 'indices': [213, 225]}, {'text': 'stoptheshots', 'indices': [226, 239]}, {'text': 'Informedconsent', 'indices': [240, 256]}]",[],
10,jeanetteimpia,2022-09-21 22:53:22+00:00,False,Digital PromoGlobal Music ExecutiveStrategicMarket Influencer platform SEO stratageys indie urban music industry/Business♥ ♪♫.¸♪♫ cancer survivor,4558,1999,108059,3,"Please join us TOMORROW, Thursday the 22nd @ 12 p.m. for ""Let's Talk #3""! A supportive discussion for those facing health challenges from the 💉. 

REGISTER HERE: https://t.co/0vJmCTOc5g 

#vaccineinjured #vaccineinjury #vaccinereactions #vaccine #mrna #FLCCC #POTS #react19 https://t.co/NFee03zFLl",[],['CWTAIC'],CWTAIC
11,see_veee,2022-09-21 22:32:59+00:00,False,Just a diamond handed girl living in a corrupt world. Corporate Executive. FULLY-TAXXED 💵 #NoVaccineMandates Stonk trader. $8.01 veteran #NotFinancialAdvice,4638,3547,6067,0,"They wanted the unvaccinated in camps. Never forget. 
#NoVaccineMandates https://t.co/vOVntwYlUc","[{'text': 'NoVaccineMandates', 'indices': [54, 72]}]",[],
12,JenOb7,2022-09-21 22:30:49+00:00,False,"Ex-Clinical Nurse Consultant, Quality and Safety. Disillusioned by the Medical Establishment. Love reigns, Truth prevails.",1580,721,9041,0,"@NickGuthe @GirltoMom @POTUS Long Covid aka #VaccineInjury 

Except for those who refuse to see. 
🙈🙉🙊","[{'text': 'VaccineInjury', 'indices': [44, 58]}]","['NickGuthe', 'GirltoMom', 'POTUS']",
13,BARBARAKEDZIER1,2022-09-21 22:22:04+00:00,False,"Communism ruins everything. Nationhood & Freedom
Christian conservative patriot 🇦🇺🇵🇱🇺🇲🇬🇧🇨🇦
Sovereignty of Australia #NoGlobalCommunism
 IFB 🚫no DM🚫",4791,4804,70416,3,"For Canadian friends from Italy:
COME ON, CANADA! 🚛🚜🚚
""The tracks of the freedom"" 👣

#TrudeauMustGo
(and also: #DraghiMustGo, #SperanzaMustGo 👉)

#NoVaccineMandates
#NoVaccinePassports #TruckersForFreedom2022 #FreedomConvoy2022
#NonViolentResistance #satyagraha https://t.co/wQJKErzhd4","[{'text': 'TrudeauMustGo', 'indices': [100, 114]}, {'text': 'DraghiMustGo', 'indices': [126, 139]}]",['AlterMoai'],AlterMoai
14,redhottimes,2022-09-21 21:56:41+00:00,False,"Anti-gene therapy, anti-globalist, anti-woke, pro-truth, pro-nouns, pro-verbs, climate change is real; climate crisis is a hoax. Fooled twice, never again  💉💉",325,107,4318,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
15,tauros427,2022-09-21 21:42:28+00:00,False,Two hundred doses to flatten the curve???,60,47,2173,0,"About time reprehensible behaviour singling out and ostracizing the unvaccinated is called out without fear of reprisal!
#NoVaccineMandates
#NoMoreMandates
https://t.co/1CrtanyaYy","[{'text': 'NoVaccineMandates', 'indices': [121, 139]}, {'text': 'NoMoreMandates', 'indices': [140, 155]}]",[],
16,orbyious,2022-09-21 21:35:07+00:00,False,,2,0,90,0,"Anti-vaxxer ridiculed over street light question after Sydney freedom rally https://t.co/Zwmz6AvmsE via @newscomauHQ 
#antivaccine people never had the plot to start with anyone that get their news for social media are not the smartest considering where that news comes from","[{'text': 'antivaccine', 'indices': [118, 130]}]",['newscomauHQ'],
17,CraftsByAlison,2022-09-21 21:31:57+00:00,False,"me 😊..posts belong to my brain & nobody else. 🏴󠁧󠁢󠁷󠁬󠁳󠁿All views are my own. Tell the truth & I will trust you, break my trust & I will never believe you.",730,1134,6304,1,"Of the news outlets I think only @GBNEWS are covering any of the #vaccineinjury  stories so why aren’t the rest of you lot not covering them

My Diagnosis Post Covid Vaccine Sequelae 

@WalesOnline 
@itvnews 
@BBCBreaking 
@SkyNews 
@GMB 
@Channel4News
@ITVWales 
@BBCWalesNews","[{'text': 'vaccineinjury', 'indices': [65, 79]}]","['GBNEWS', 'WalesOnline', 'itvnews', 'BBCBreaking', 'SkyNews', 'GMB', 'Channel4News', 'ITVWales', 'BBCWalesNews']",
18,maegan_laporte,2022-09-21 21:20:46+00:00,False,Proud Canadian hockey and curling fan freedom supporter Catholic Christian pro-life disabled and a patriot support constitutions of 🇨🇦🇺🇸,3616,3392,742467,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/PHPeNeMZNa","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
19,maegan_laporte,2022-09-21 21:20:26+00:00,False,Proud Canadian hockey and curling fan freedom supporter Catholic Christian pro-life disabled and a patriot support constitutions of 🇨🇦🇺🇸,3616,3392,742467,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/uv8zimKZNO","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
20,rhaneya2,2022-09-21 21:19:46+00:00,False,#Bitcoin #asatru 🇮🇸 #allesdichtmachen #Physics is wonderful,200,231,19625,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
21,NoLeftyEsty,2022-09-21 21:17:34+00:00,False,"✝️GOD FIRST. CHRIST, ISRAEL AND USA PRO LIFE. NO DMS Following only MAGA’s HERE TO HELP DESANTIS KAG #MAGA2024! USA 🇺🇸",12771,12787,26598,233,"Attorney lawyer for military, Todd Callender: 

“according to DMED, military database, all cause mortality spiked 1100% in just 10 months, the year the vaccine was introduced”

That’s just the starting statement

These facts are disturbing
#vaccine #VaccineDeath #Vaccineinjury https://t.co/3cP63Kzcli",[],['bambkb'],bambkb
22,maegan_laporte,2022-09-21 21:16:19+00:00,False,Proud Canadian hockey and curling fan freedom supporter Catholic Christian pro-life disabled and a patriot support constitutions of 🇨🇦🇺🇸,3616,3392,742467,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/ERCBN1iXZx","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
23,kittyhundal,2022-09-21 21:10:23+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/ERCBN1iXZx","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
24,kittyhundal,2022-09-21 21:08:45+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/uv8zimKZNO","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
25,PaulGre69786366,2022-09-21 21:05:10+00:00,False,"Now into my 3rd decade of the structural water & gasproofing industry with Types, A, B & C systems firmly under my belt, with pure blood, and happy to donate.",140,341,20082,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
26,papaemertussy,2022-09-21 21:04:00+00:00,False,❌House Bolton❌ +18 🇩🇪 average Ghost and R+ enjoyer,334,340,6594,116,"Things are getting worse as this #VaccineInjury continues its assault on my immune system. Migraine all week, increased muscle spasms, respiratory issues spreading, tinnitus worse than ever, #POTS heart rate is a 50 BPM difference from laying to standing. 

“Safe and effective.” https://t.co/qCc8u4B0AJ","[{'text': 'VaccineInjury', 'indices': [49, 63]}]",['louietraub'],louietraub
27,DarrenBellreads,2022-09-21 20:59:27+00:00,False,"😀💜🌸Pseudonym scribbler. Loves stories, restoration, history, Lavazza and tipples. Liberty is all. Pronouns: Trucker/Witch/Dutch Farmer. 🌸😀💜",5000,1942,144636,1,"@IndependentSage Malfeasance in public office. You should be criminally charged for the fearporn, harms++ IMO . Awful abuse of power. 🤮Resign. @trussliz @SirGrahamBrady @EdwardJDavey @thecoastguy @NeilClark66 @UsforThemUK @toadmeister @UFTScotland @reformparty_uk @T4Recovery #NoVaccineMandates",[],"['DarrenBellreads', 'IndependentSage']",DarrenBellreads
28,DarrenBellreads,2022-09-21 20:59:15+00:00,False,"😀💜🌸Pseudonym scribbler. Loves stories, restoration, history, Lavazza and tipples. Liberty is all. Pronouns: Trucker/Witch/Dutch Farmer. 🌸😀💜",5000,1942,144636,1,"@IndependentSage Malfeasance in public office. You should be criminally charged for the fearporn, harms++ IMO . Awful abuse of power. 🤮Resign. @trussliz @SirGrahamBrady @EdwardJDavey @thecoastguy @NeilClark66 @UsforThemUK @toadmeister @UFTScotland @reformparty_uk @T4Recovery #NoVaccineMandates","[{'text': 'NoVaccineMandates', 'indices': [276, 294]}]","['IndependentSage', 'trussliz', 'SirGrahamBrady', 'EdwardJDavey', 'thecoastguy', 'NeilClark66', 'UsforThemUK', 'toadmeister', 'UFTScotland', 'reformparty_uk', 'T4Recovery']",
29,kittyhundal,2022-09-21 20:51:25+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/PHPeNeMZNa","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
30,kittyhundal,2022-09-21 20:46:45+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/R59gwUwGih","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
31,FeralShojo,2022-09-21 20:09:04+00:00,False,"I draw. I paint. I read. I play games. I repeat. ❤️❤️❤️
https://t.co/GGnL5sINug
Wenn mir langweilig ist, schreibe ich provokative Tweets",0,450,8280,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
32,hephaistos_ai,2022-09-21 19:29:36+00:00,False,"Héphaïstos has won 5 competitions and is frequently cited in press articles for its innovative character and its solutions.
Follow on Instagram- @hephaistos_ai",207,4543,388497,1,#RandPaul calls out the left's thirst for control after they contradict ... https://t.co/sVtJhNnuSx via @YouTube #MasksOff #NoVaccineMandates #FireFauci #AnthonyFauci #vaccines #Covid #JoeBiden #democrats #CNN #BBC #FoxNews #MSNBC #ABC #CBS #NBC,"[{'text': 'RandPaul', 'indices': [15, 24]}, {'text': 'MasksOff', 'indices': [128, 137]}]","['heavyed65', 'YouTube']",heavyed65
33,heavyed65,2022-09-21 19:29:30+00:00,False,Activist for a FreePalestine,293,644,54409,1,#RandPaul calls out the left's thirst for control after they contradict ... https://t.co/sVtJhNnuSx via @YouTube #MasksOff #NoVaccineMandates #FireFauci #AnthonyFauci #vaccines #Covid #JoeBiden #democrats #CNN #BBC #FoxNews #MSNBC #ABC #CBS #NBC,"[{'text': 'RandPaul', 'indices': [0, 9]}, {'text': 'MasksOff', 'indices': [113, 122]}, {'text': 'NoVaccineMandates', 'indices': [123, 141]}, {'text': 'FireFauci', 'indices': [142, 152]}, {'text': 'AnthonyFauci', 'indices': [153, 166]}, {'text': 'vaccines', 'indices': [167, 176]}, {'text': 'Covid', 'indices': [177, 183]}, {'text': 'JoeBiden', 'indices': [184, 193]}, {'text': 'democrats', 'indices': [194, 204]}, {'text': 'CNN', 'indices': [205, 209]}, {'text': 'BBC', 'indices': [210, 214]}, {'text': 'FoxNews', 'indices': [215, 223]}, {'text': 'MSNBC', 'indices': [224, 230]}, {'text': 'ABC', 'indices': [231, 235]}, {'text': 'CBS', 'indices': [236, 240]}, {'text': 'NBC', 'indices': [241, 245]}]",['YouTube'],
34,HelenMeulstee,2022-09-21 19:26:22+00:00,False,"#TheOtherSideOfTheHeartIsWhite #Echtevrouwen  Feyenoordsupporter, maar belangrijkste van alles..moeder van Sem :-)",154,798,8010,233,"Attorney lawyer for military, Todd Callender: 

“according to DMED, military database, all cause mortality spiked 1100% in just 10 months, the year the vaccine was introduced”

That’s just the starting statement

These facts are disturbing
#vaccine #VaccineDeath #Vaccineinjury https://t.co/3cP63Kzcli",[],['bambkb'],bambkb
35,GegeBebiii,2022-09-21 18:54:55+00:00,False,"mond lan pou mwen, e kounya'l ye! Fè AYITI🇭🇹 Gran Ankò",1317,2043,284684,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
36,AdamNorth321,2022-09-21 18:36:23+00:00,False,"MAGIC CHICKEN 🐔Lay an🥚man! 

 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧Yo-ho, all together
Hoist the colors high
Heave ho, thieves and beggars
Never shall we die1🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧",102,239,42041,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
37,stevenjeffs01,2022-09-21 18:33:04+00:00,False,In April 2013 I discovered the Worlds Largest Impact Crater.,525,98,3309,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/SC9xiRNTQY","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
